"My Profile","My Profile"
"You have logged out.","You have logged out."
"Create New Vendor Account","Create New Vendor Account"
"Something went wrong, please try again.","Something went wrong, please try again."
"New Password and Confirm New Password values didn't match.","New Password and Confirm New Password values didn't match."
"Please enter a new password.","Please enter a new password."
"You updated your password.","You updated your password."
"Something went wrong while saving the new password.","Something went wrong while saving the new password."
"invalid request","invalid request"
"see error log for details","see error log for details"
"Service unavailable: %1","Service unavailable: %1"
"Request New Categories","Request New Categories"
"Category request has been successfully deleted.","Category request has been successfully deleted."
"You cannot delete this request.","You cannot delete this request."
"Category Requests","Category Requests"
"New category request has been successfully raised.","New category request has been successfully raised."
"Please select unchecked or not in your list categories to raise the request.","Please select unchecked or not in your list categories to raise the request."
"Email could not be sent. Please try again or contact us.","Email could not be sent. Please try again or contact us."
"No such category request found.","No such category request found."
Microsite,Microsite
"Information has been saved successfully.","Information has been saved successfully."
"Duplicate (Vendor ID ""%1"""")","Duplicate (Vendor ID ""%1"""")"
"Something went wrong while saving the microsite information.","Something went wrong while saving the microsite information."
"Banner Not Save.","Banner Not Save."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" is required. Enter and try again."
"Please enter less than 255 characters for ""%fieldName"".","Please enter less than 255 characters for ""%fieldName""."
"Feedback & Ratings","Feedback & Ratings"
